location,reviewer_id,content
Blida,علي زبير,استقبال جيد
Blida,LAMINE KEBBAB,3.5
Blida,Midou Sou,"J'ai passé chez un jeune homme, il est très serviable."
Blida,chikhi nour el imen,"Un service en dessous de tout niveau acceptable. Beaucoup de clients présents, mais les guichets restent vides et les employées absentes. Un manque total d’organisation et de professionnalisme."
Blida,Faycal Bouadjedia,Good
Blida,M Manel,"The service was quick , the staff is friendly"
Blida,Abderrahmane Boulaioune,Les employés doivent être appris à régler des problèmes de booking ... Pourquoi avoir une agence ici à Blida alors qu'on est dans l'obligation de se déplacer à ALGER CENTRE parce que le staff est plus informé et formé là-bas ...
Blida,Amar Boudjaba,موقع صعب الوصول إليه خدمات مقبولة معاملة مع الموضفين مقبولة + كملاحظة : أفضل أن تكون الإجابة بلغة السؤال .
Blida,Farfar El gatto,"Personnel accueillant à l'écoute, réactif et patient ."
Blida,Hammad Abdanour,ممتاز
Blida,Gnod Knud,5 étoiles ! Très bon accueil ! Chaleureux et à l'écoute !
Blida,sar semmar,"J'ai été très chaleureusement reçu, c'était juste pour payer le ticket car la réservation à été faite par téléphone."
Blida,Walid Walid,ثقال كامل و سامطين
Blida,Hugo Boss,"Le prix des billets est une honte, c'est les plus chers à croire ke l'on va à Dubai , Turquie Maroc Tunisie....sont à bas prix, on se demande où va l'argent"
Blida,Moh Bousta,Merci à vs ts
Blida,B S,للأسف خدمات بطيئة جدا و كراسي مهترئة و موقعها من الصعب الوصول إليه.
Blida,rayan hanou,assez bien
Blida,Farida Kellel,le service marhaba pour le service fauteuil roulant pour personne âgés tres tres bien un très bon service mes félicitations continuer comme çà
Blida,Aba Salim,Très bon
Blida,Laid Mohamed,"Très beau et merveilleux... excellent service, haute qualité"
Blida,Areslane Abdelaziz,"Air Algérie est une compagnie aérienne qui incarne l'hospitalité et la connectivité, reliant le monde à l'Algérie. Leurs services fiables et leur personnel dévoué offrent une expérience de voyage inoubliable. Que votre destination soit la superbe Algérie ou d'autres horizons, Air Algérie est là pour vous emmener vers de nouveaux horizons."
Blida,SIGNÉ FR,"C'est dernière années air Algérie connu une très bonne évaluation au niveau des services, je recommande"
Blida,Khalifa Az,Une très belle compagnie
Blida,Lamine Mustapha,Momtaz
ALGER CENTRE  ,MED,Exellent travaille
Blida,Katia Aoudj,Service très lent ....
Blida,Hichem HDD,2
Blida,Maameri Mohammed,Allah ybarak
Blida,Djihane Mebarki,"Service tres lent , agence mal organisée, y avais qu un seul guichet en service pour plus de 100 client"
Blida,Moh the alchemist,Deux guichets ne sont pas suffisant
Blida,Diana Ery,Une seule personne pour gérer toute l'agence.
Blida,Youness DAHMANI,C grave
Blida,rabah kasri,Bon accueil
Blida,So Raya,Juste juste
Blida,Omar TAHMI,Service très lent
Blida,abdelhafido chaine,Satisfait
Blida,amel blida,Merci beaucoup
ALGER CENTRE  ,MED,https://www.google.com/maps/contrib/102902221920455593311?hl=fr
ALGER CENTRE  ,MED,72
Blida,Ladyyacouta Ladyyacouta,L'aventure commence
Blida,Djaafar Koudia,خدمات جيدة معاملة جيدة
Blida,chafik chafik,Thya Bladi. تحيا بلادي
Blida,bennia hamza,Nothing to see here
Blida,joseph arth,c'est quoi l'indicatif de votre planète s'il vous plait???
Blida,Kader Kader,Féerique
Blida,Ilies Kabli,Très bien
Blida,NECEREDDINE SETTAR,Nul 000
Blida,Choukri The Adventurer,Le bon travail
Blida,Alaa Eldin Abdelmoazz,اسعار التذاكر ، جيدة مقارنة بشركات أخرى.
en,de,rétrogradés
du,d’enfants,Oui
ça,domestiques,sans
ALGER CENTRE  ,MED,https://lh3.googleusercontent.com/geougc-cs/ABOP9ptvGe_sOBkfZxN1bNBOjcbq7Q7Oe6BM5f2pvDCEnFB_onw6S5xZd8-q7IcOkSYIqGpzibcCNSBWyPakE_Kp9R3xwuuZ9XV15SJTWhALD9uq_PLVnahQ60zSwp2hR4-UXbqLywMI
Blida,ait messaoudene Tarek,Lah ghaleb y'a pas d'autres solutions pffffffffff
Blida,Bourida Wahib,Pas le choix
Blida,Maestro Salah,false
Blida,mohamed lamine taguida,Un manque de professionnalisme
Blida,Adel Abdelmalek,Service nul et long... décoration des années 60
Blida,Redha Moussaoui,3
Blida,Imad Hammani,Service médiocre
ALGER CENTRE  ,MED,mauvais
ALGER CENTRE  ,MED,1.5
ALGER CENTRE  ,MED,noooooo
ALGER CENTRE  ,MED,1
ALGER CENTRE  ,MED,https://www.google.com/maps/contrib/111219148364568002068?hl=fr
Blida,Oualid KOULLA,Aménagement des années 70
Blida,Casper Ulysse,Service lent les agents à la limite du supportable on dirait qu'ils vendent du pain et que tout est acquis et c'est une image qui reflète l'état de la compagnie
Blida,Mohamed Ouddane,Très smpa bien organisé rapide je suis étonné par c sevices le personnel très gentil merci
Blida,loula loulita,très bien bon continuation
Blida,ZINE-EDDINE Achoubi,Acceptable
ALGER CENTRE  ,MED,big no
ALGER CENTRE  ,MED,0
ALGER CENTRE  ,MED,4
Chéraga,Ele mahdi Ourabia,3.1
Chéraga,amine zair,mayrfdou ma walou
Chéraga,Ilyes AIT ABDESSLAM,Pas beaucoup de monde
Chéraga,Hiho Gigo,سوء المعاملة والإهمال
