review
"✅Trip Verified|   My checked bag went missing after my flight with Air Algérie, and after some time the airline told me that it had been found at Béjaïa Airport. They said it would be sent to my home address, since I had already left Algeria. After that message, everything stopped. I have been trying to contact Air Algérie since the summer — emails, forms, messages — and I have not received a single reply. No update about my bag, no explanation, no follow-up. Months have passed and the airline continues to ignore every attempt I make to resolve the situation. Losing a bag can happen with any airline, but the complete silence after confirming they had located it is unacceptable. My belongings have still not been returned, and I have had to deal with this entirely on my own. This has been one of the worst customer service experiences I have ever had, and I am sharing this so others are aware of how Air Algérie handles situations when something goes wrong."
"✅Trip Verified| Worst cross-ocean flight I ever had. Issues we had: - They lost our luggage - They do not offer to pay to deliver our luggage, and asked us to pay UPS to get it delivered to us. No facilities at all in Algiers Airport, hence terrible experience during connection. For our return trip, they changed our flight without a reason, and forced us to wait at Algiers Airport for 9 hours for a connection without giving a viable alternative."
"✅Trip Verified| Almost no announcements in English during flight. Plane very dirty, like not cleaned for decades, decaying 737-600, couldn't eat the suspicious snack given. Online check-in is actually not available for Air Algérie flights, as you need to have your ticket printed in the old fashioned way. Staff were friendly and professional but can't make it better with the airline they're working to."
"✅Trip Verified|  The most dirty airplane I’ve been in, gum sticked to the chairs, drops of dry dirt everywhere, the table is dirty also something was poured on it and wasn’t cleaned."
"Not Verified|  Very nice cabin, comfortable seats and good entertainment systems. The food tasted very good and there was enough food for the flight length. The flight attendants were all very friendly except 1 steward. (Plane: 7T-VJA, Date: 8 July 2019)."
"Not Verified|  Paris to Oran. Very bad service for an extremely expensive price. The plane cabin was dirty, the seats uncomfortable. The cabin crew were incompetent and very haughty. Take this airline only when absolutely necessary. If you choose to spend your vacation it is a very bad choice. Unfortunately this company puts our country to shame"
"✅Trip Verified|  Amman to Barcelona via Algiers. I would not recommend this airlines at all. During my trip from Amman to Barcelona through Algiers, all my checked in luggage was lost, and it has not been found since. I submitted two claims, but the airline never got back to me (not answering phone or email)."
"✅Trip Verified|  London to Algiers. There was a slight delay, but the service onboard was excellent. Clean, very nice food and friendly personnel. Very pleased with the whole experience. Would fly Air Algerie again."
"✅Trip Verified|  Algiers to Paris, the worst airline ever. Aircraft is old and dirty. Flight time was delayed and postponed. The check in process at counter is very slow. The only efficiency thing is their system down time. The staff is not well trained etc."
"✅Verified Review|  Bamako to Algiers. A 21:15 flight was delayed around 21:30. This was the first we heard anything. At around 22:30 we were told the plane would take off the next day. We were fed by 23:00. Around 00:00 shuttles started to a hotel. I got yelled at by airline personnel while boarding a shuttle. The last of us got to the hotel around 2:30 where we were dropped off with no information. The hotel was absolutely horrid. The hotel personnel shared no flight information so around noon the next day I asked for a number for the Air Algerie personnel who'd made the reservation. He picked up after about 3 calls and told me not to call back. Around 17:00 we were told to be ready to depart at 00:00. Around 23:40 2 shuttles came. There was a mad, unorganized rush to board the shuttles because there wasn't enough space. I got pushed and shoved but left behind. One shuttle left the hotel without having its door closed. Around 00:30 another shuttle came and I managed to get on. After standing in line at the airport for an hour I got a new boarding pass. I was assured that the luggage that I had handed over the previous day would be on the plane. Service on the flight was fairly decent. Plane landed around 8:00 and took off fine. The seat was absolutely filthy, however, and the bathroom was disgusting. My luggage did not come in. I tried to report my luggage as lost but was told I could not because I had no baggage claim tickets (they'd been taken by the airline when I got my new boarding pass). I was told to come back the next morning at 3:00. I got yelled at again while reporting the luggage lost.  Another passenger said that a plane from Bamako was coming in at noon and we should wait so I did. luggage came in around 12:30."
