Nom,Note,Commentaire,Date
krack boursier,5 stars,HAJJA ULTRA FULL POWER 💪💪🇩🇿🇩🇿🇩🇿🇩🇿BLADNA ULTRA FULL POWER 💪💪🇩🇿🇩🇿🇩🇿🇩🇿 …,4 months ago
adel mariche,1 star,An employee of the El Biar agency who brutally closed the door when we asked for information when the agency was supposed to close 30 minutes later. He pushed us violently and closed the iron curtains. Education is not given to everyone …,5 years ago
Tomas V,1 star,"Their LAST priority is always the client for them. Insulting crew, that don’t care about anyone. Also, better chance to win the lottery than this airline taking off on time",3 years ago
Mohamdd Bennegadi,5 stars,"Good services
Great staff.
But you to wait quite long.
Be patient. This Algeria.",a year ago
Ibrahim CK,1 star,I would prefer walking from uae to Algeria rather then booking with air Algeria,a year ago
sofiaa eloued,2 stars,I tried calling non stop all nobody answers,4 years ago
BOUHOUN DADDA,1 star,Always bad service and bad reception.,3 years ago
Camera Zhf,1 star,"Be careful, never call Air Algerie for a flight change over the phone. They are top-notch scammers. They will tell you they have to upgrade you and make you pay a huge supplement when it is not necessary. This is worthy of a low-cost airline! The last time I fly this airline! Ciao",4 months ago
Chahrazad Barbara,5 stars,"A very warm welcome from the advisor Khalida! Very friendly, I just left the agency and she is very nice and attentive.",a month ago
ratiba zemour,5 stars,"I got my ticket refunded without any hassle; the woman on the phone handled everything.
Thank you for your expertise and dedication.",5 months ago
Algerian Hamid,4 stars,"Zighoud Youcef Street, Algiers, opposite the Ambassador Hotel and the National People's Assembly",6 months ago
Mehdi Guella,1 star,"They're useless. I contacted them by phone and after waiting for ages, a woman hung up on me for no reason. They have a long way to go... starting with hiring competent people. I wish I could give them zero stars.",a year ago
Mezghena santodji,1 star,"As always, the ticket seller is glued to her phone, sometimes on WhatsApp, sometimes on Viber. And to top it all off, when you pay for your ticket, they never have the change: 100 DA here, 70 DA there… At the end of the day, the till is always full, and they share the profits amongst themselves. Poor you!",8 months ago
S. G.,1 star,"On top of everything else that's wrong, there's the food they serve us, seriously, they treat us like cats. A can of tuna in a dry piece of bread with a packet of cake and a juice. It's a joke. I'd rather have a stopover and take a low-cost …",a year ago
Lila Chine,1 star,"If no stars were allowed, I would have given it one. This agency is a complete disaster, from the reception and service to the procedures. They advertise a quality charter regarding communication between clients and staff, but there's …",a year ago
La FEMME Institut,5 stars,"All the agents are great. Friendly, efficient... you can tell they're with a national airline, nothing like the low-cost airline. Luggage up to 20kg + 10kg in the cabin, tickets can be changed and refunded as you wish, and once again, the staff is always on hand. The best airline in the world and a very good agency!!!",a year ago
Lune Soleil,1 star,"The staff was unsatisfactory, especially the person in charge of my reservation; she was not at all welcoming and not fit to be a ticket agent.",11 months ago
M J,1 star,"You don't even deserve one star. That tall, strong woman with a broken leg belongs in a boxing ring, not in a business. And it's the security guard who goes to see her every time to give us the information. On top of everything else, the …",7 years ago
Mimi K,2 stars,"Everything is fine, as long as there are no problems and we need to contact them by phone. Otherwise, the prices are correct compared to others with luggage.",a year ago
Valou Tour,5 stars,"Top-notch agency!
Not many people, knowledgeable receptionists, and the employee who looked after us handled our file (Covid reimbursement) well.",a year ago
Walid Lion,5 stars,"Air Algérie is one of the best airlines a traveler can choose, whether they are a foreigner or a native of the country where the airline is based. Personally, I've never flown with them before and I'm looking forward to it, but since I've had friends who have, they've left me with very positive impressions.",2 years ago
Ousman Beiker,1 star,"Located just 3 minutes from my hotel, I approached the security guard to change my ticket, but he firmly refused me entry, saying that this agency is specifically for loyalty card holders. So, access was denied, and I left, quite …",7 years ago
Kara Rania,1 star,"Unfortunately, Air Coucous is one of the worst airlines I've ever dealt with.",8 months ago
Pakito Nacerovitch,1 star,"At reception, a veiled woman, barely visible, was reading the Quran... PLEASE DO NOT DISTURB!!",10 months ago
Sanaba Konaté,1 star,Your company is absolutely useless. How can you delay a flight just for trivial reasons when you know full well that there are people who have plans at their destination?,2 years ago
Alexandra Laguerre,3 stars,"Flight was fine, but they can warn us when there are cancellations because we got up at 3:50 am.",a year ago
Adlene KEBCI,1 star,"A rotten agency, just like their employees. An agency that claims to close at 7 PM, it's 4:30 PM and they're already turning people away from the door.",2 years ago
Services a Domicile,1 star,"Peace be upon you.
For a company the size of Air Algérie, its reputation has deteriorated to this extent!! …",2 years ago
fatma,1 star,"I tried to call Air Algeria from Algiers several times for 20 minutes and I gave up as I can't give a zero I gave 1 star, frankly it's abuse,",2 years ago
Daniele Bigot,1 star,Terrible service and reception. Incompetent and rude staff. Long wait times.,2 years ago
Abdulhadi SUKARI,2 stars,The mechanism of working with customers must be changed. We must move away from traditional methods. It is not reasonable for me to spend a whole day buying a ticket.,2 years ago
Salim Labou,2 stars,"Pleasant and helpful staff...but no answer on the phone and often down on the network, absolutely incredible in 2021!",4 years ago
Perle Cherif,3 stars,"Unprofessional staff. They take too long, they talk more than they work. No smiles... a complete disaster.",6 years ago
hamid alger,1 star,Pay us the plane tickets paid for by Air Algérie that have been suspended since November 2019 or tell us that it's Khalifa's business again????,3 years ago
Naila Djafer,1 star,Disaster! They charged me twice for the ticket. I've sent several emails and still haven't received a reply. Last time I'm flying Air Algérie.,2 years ago
beli ben,1 star,The wait time is endless and they never answer!!!,a year ago
Rai Moncef,1 star,"The most failed institution on earth,

Pour les gens qui travaillent la bas ...they are powerless",3 years ago
Fafoù Ben,1 star,"You're really useless, with all due respect... you don't even answer the phone...",2 years ago
bel Mira,2 stars,"The staff were quite good, but the wait was very long.",3 years ago
R. Gh.,1 star,"Do you ever answer the phone???!!!

Do you ever answer phone calls?!!!",5 years ago
El Hadj Abdelamlek ARBAOUI,1 star,It was already closed at 4 PM! Without any indication of opening hours!,6 years ago
salih master,1 star,They definitely don't bother looking at the phone number.,3 years ago
Sou ad,1 star,"Anarchy and a lot of influence, bureaucracy is not easy for us.",3 years ago
ishak remoun,1 star,"There is no service or reception, and there is a shortage of staff and staff.",a year ago
بشير نذير بن نية,3 stars,"Average services, the agency closes early which disrupts the travelers' interests",4 years ago
747 hatanor,1 star,Without going into details I would say that it is the worst airline in the world.,3 years ago
Mhammed Rahalista,1 star,❌❌❌❌❌,10 months ago
Sofiane Sofi,4 stars,I really liked it,2 years ago
